,,Location,
CEFTRIAXONE-LIDOCAINE 500 MG-10 MG/ML (1 %) (STI ORDERS) (NON MSH/MSQ),STR,,
CELECOXIB 100 MG CAPSULE,PHRM,,
CELECOXIB 200 MG CAPSULE,STR,,
CENOBAMATE 12.5 MG TABLET,STR,,
CENOBAMATE 200 MG TABLET,STR,,
CENOBAMATE 50 MG TABLET,STR,,
CEPHALEXIN 250 MG CAPSULE,STR,,
CEPHALEXIN 250 MG/5 ML ORAL SUSPENSION,STR,,
CEPHALEXIN 500 MG CAPSULE,PHRM,,
CETIRIZINE 10 MG TABLET,STR,,
CETIRIZINE 5 MG TABLET,STR,,
CETUXIMAB 200 MG/100 ML INTRAVENOUS SOLUTION,STR,,
CHLORDIAZEPOXIDE 10 MG CAPSULE,STR,,
CHLORDIAZEPOXIDE 25 MG CAPSULE,STR,,
CHLORDIAZEPOXIDE 5 MG CAPSULE,STR,,
CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH,STR,,
CHLOROPROCAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION,PHRM,,
CHLOROTHIAZIDE SODIUM 500 MG INTRAVENOUS SOLUTION,STR,,
CHLORPROMAZINE 10 MG TABLET,STR,,
CHLORPROMAZINE 100 MG TABLET,PHRM,,
CHLORPROMAZINE 25 MG TABLET,PHRM,,
CHLORPROMAZINE 25 MG/ML INJECTION SOLUTION,STR,,
CHLORPROMAZINE 50 MG TABLET,STR,,
CHLORTHALIDONE 25 MG TABLET,PHRM,,
CHLORTHALIDONE 50 MG TABLET,STR,,
CHOLECALCIFEROL (VITAMIN D3) 10 MCG (400 UNIT) TABLET,VIT,,
"CHOLECALCIFEROL (VITAMIN D3) 25 MCG (1,000 UNIT) TABLET",VIT,,
"CHOLECALCIFEROL (VITAMIN D3) 50 MCG (2,000 UNIT) CAPSULE",VIT,,
CHOLESTYRAMINE (WITH SUGAR) 4 GRAM POWDER FOR SUSP IN A PACKET,PHRM,,
CICLOPIROX 0.77 % TOPICAL CREAM,STR,,
CICLOPIROX 8 % TOPICAL SOLUTION,STR,,
CINACALCET 30 MG TABLET,STR,,
CINACALCET 60 MG TABLET,STR,,
CINACALCET 90 MG TABLET,STR,,
"CIPROFLOXACIN 0.2 %-HYDROCORTISONE 1 % EAR DROPS,SUSPENSION",STR,,
CIPROFLOXACIN 0.3 % EYE DROPS,STR,,
"CIPROFLOXACIN 0.3 %-DEXAMETHASONE 0.1 % EAR DROPS,SUSPENSION",STR,,
CIPROFLOXACIN 200 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
CIPROFLOXACIN 250 MG TABLET,STR,,
CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
CIPROFLOXACIN 500 MG TABLET,PHRM,,
CIPROFLOXACIN 750 MG TABLET,STR,,
CISATRACURIUM 100 MG IN NS 100 ML INTRAVENOUS,STR,FRIG,
CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION,STR,FRIG,
CISATRACURIUM 200 MG IN SODIUM CHLORIDE 0.9 % 100 ML INTRAVENOUS,STR,FRIG,
CITALOPRAM 10 MG TABLET,STR,,
CITALOPRAM 10 MG/5 ML ORAL SOLUTION,STR,,
CITALOPRAM 20 MG TABLET,STR,,
CITALOPRAM 40 MG TABLET,STR,,
CLADRIBINE CHEMO INFUSION,STR,,
CLARITHROMYCIN 500 MG TABLET,STR,,
CLEVIDIPINE 25 MG/50 ML INTRAVENOUS EMULSION,PHRM,FRIG,
CLINDAMYCIN 1 % LOTION,STR,,
CLINDAMYCIN 300 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
CLINDAMYCIN 600 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
CLINDAMYCIN 75 MG/5 ML ORAL SOLUTION,STR,,
CLINDAMYCIN 900 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
CLINDAMYCIN HCL 150 MG CAPSULE,STR,,
CLOBAZAM 10 MG TABLET,STR,,
CLOBETASOL 0.05 % TOPICAL CREAM,STR,,
CLOMIPRAMINE 50 MG CAPSULE,STR,,
CLOMIPRAMINE 75 MG CAPSULE,VAULT,,
CLONAZEPAM 0.25 MG DISINTEGRATING TABLET,VAULT,,
CLONAZEPAM 0.25 MG HALF TABLET,VAULT,,
CLONAZEPAM 0.5 MG TABLET,VAULT,,
CLONAZEPAM 1 MG TABLET,VAULT,,
CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,STR,,
CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH,STR,,
CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH,STR,,
CLONIDINE HCL 0.1 MG TABLET,PHRM,,
CLONIDINE HCL 0.2 MG TABLET,PHRM,,
CLONIDINE HCL 0.3 MG TABLET,STR,,
"CLONIDINE HCL ER 0.1 MG TABLET,EXTENDED RELEASE,12 HR",STR,,
CLOPIDOGREL 75 MG TABLET,PHRM,PHRM,
CLOTRIMAZOLE 1 % TOPICAL CREAM,STR,,
CLOTRIMAZOLE 10 MG TROCHE,STR,,
CLOTRIMAZOLE 2 % VAGINAL CREAM,STR,,
CLOZAPINE 100 MG DISINTEGRATING TABLET,STR,,
CLOZAPINE 100 MG TABLET,PHRM,,
CLOZAPINE 25 MG DISINTEGRATING TABLET,STR,,
CLOZAPINE 25 MG TABLET,STR,,
CLOZAPINE 50 MG TABLET,STR,,
"COAGULATION FACTOR IX (RECOMB) 2,000 UNIT INTRAVENOUS SOLUTION",STR,,
COLCHICINE 0.6 MG TABLET,PHRM,,
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM 250 UNIT/GRAM TOPICAL OINTMENT,STR,,
CONJUGATED ESTROGENS 0.3 MG TABLET,STR,,
CONJUGATED ESTROGENS 0.625 MG/GRAM VAGINAL CREAM,STR,,
COPPER 380 SQUARE MM INTRAUTERINE DEVICE,STR,,
COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,STR,,
CPB PRIME SOLUTION,STR,,
CRIZANLIZUMAB-TMCA INFUSION,PHRM,,
CROMOLYN 5.2 MG/SPRAY (4 %) NASAL SPRAY,VIT,,
CUSTOM COMPOUND MEDICATION,STR,,
CUSTOM IV FLUID,STR,,
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG SUBLINGUAL TABLET",VIT,,
"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION",STR,,
CYCLOBENZAPRINE 10 MG TABLET,PHRM,,
CYCLOBENZAPRINE 5 MG TABLET,PHRM,,
CYCLOPENTOLATE 1 % EYE DROPS,STR,,
CYCLOPHOSPHAMIDE INFUSION (ADULT),STR,,
CYCLOSPORINE 0.05 % EYE DROPS IN A DROPPERETTE,STR,,
CYCLOSPORINE 100 MG CAPSULE,PHRM,,
CYCLOSPORINE 25 MG CAPSULE,STR,,
CYCLOSPORINE IVPB,STR,,
CYCLOSPORINE MODIFIED 100 MG CAPSULE,STR,,
CYCLOSPORINE MODIFIED 25 MG CAPSULE,STR,,
CYPROHEPTADINE 4 MG TABLET,STR,,
DABIGATRAN ETEXILATE 150 MG CAPSULE,PHRM,,
DABIGATRAN ETEXILATE 75 MG CAPSULE,STR,,
"DALBAVANCIN 1,500 MG IN 500 ML D5W IVPB",STR,,
DAPAGLIFLOZIN PROPANEDIOL 10 MG TABLET,STR,,
DAPAGLIFLOZIN PROPANEDIOL 5 MG TABLET,STR,,
DAPSONE 100 MG TABLET,STR,,
DAPSONE 25 MG TABLET,STR,,
DAPTOMYCIN IVPB,STR,,
DAPTOMYCIN IVPB (MSQ),STR,,
"DARATUMUMAB 1,800 MG-HYALURONIDASE-FIHJ 30,000 UNIT/15 ML SUBCUT SOLN",STR,,
DARBEPOETIN ALFA 100 MCG/0.5 ML IN POLYSORBATE INJECTION SYRINGE,STR,,
DARBEPOETIN ALFA 200 MCG/0.4 ML IN POLYSORBATE INJECTION SYRINGE,STR,,
DARBEPOETIN ALFA 25 MCG/0.42 ML IN POLYSORBATE INJECTION SYRINGE,STR,,
DARBEPOETIN ALFA 40 MCG/0.4 ML IN POLYSORBATE INJECTION SYRINGE,STR,,
DARBEPOETIN ALFA 500 MCG/ML IN POLYSORBATE INJECTION SYRINGE,STR,,
DAROLUTAMIDE 300 MG TABLET,STR,,
DARUNAVIR 600 MG TABLET,VIT,,
DARUNAVIR 800 MG TABLET,VIT,,
DARUNAVIR 800 MG-COB 150 MG-EMTRICIT 200 MG-TENOFO ALAFEN 10 MG TABLET,VIT,,
DARUNAVIR 800 MG-COBICISTAT 150 MG TABLET,VIT,,
DEFERASIROX 360 MG TABLET,VIT,,
DEGARELIX 120 MG SUBCUTANEOUS SOLUTION,STR,,
DENOSUMAB 120 MG/1.7 ML (70 MG/ML) SUBCUTANEOUS SOLUTION,STR,,
DENOSUMAB 60 MG/ML SUBCUTANEOUS SYRINGE,STR,,
DESMOPRESSIN 0.1 MG TABLET,STR,F,
DESMOPRESSIN 0.2 MG TABLET,STR,F,
DESMOPRESSIN 4 MCG/ML INJECTION SOLUTION,STR,F,
DESMOPRESSIN IVPB,STR,SF,
DESOGESTREL 0.15 MG-ETHINYL ESTRADIOL 0.03 MG TABLET,STR,,
"DESVENLAFAXINE ER 100 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"DESVENLAFAXINE SUCCINATE ER 25 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"DESVENLAFAXINE SUCCINATE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
DEXAMETHASONE 0.5 MG TABLET,STR,,
DEXAMETHASONE 1 MG TABLET,STR,,
DEXAMETHASONE 1.5 MG TABLET,STR,,
DEXAMETHASONE 10 MG IN D5W 50 ML PYXIS MINIBAG,STR,,
DEXAMETHASONE 12 MG IN 50 ML 0.9 % SODIUM CHLORIDE REPACKAGED,STR,,
DEXAMETHASONE 12 MG IN NS 50 ML PYXIS MINIBAG,STR,,
DEXAMETHASONE 20 MG IN NS 0.9 % 50 ML PYXIS MINIBAG,STR,,
DEXAMETHASONE 4 MG TABLET,PHRM,,
DEXAMETHASONE 8 MG IN NS 50 ML PYXIS MINIBAG,STR,,
DEXAMETHASONE IVPB,STR,,
DEXAMETHASONE SODIUM PHOSPHATE (PF) 10 MG/ML INJECTION SOLUTION,STR,,
DEXAMETHASONE SODIUM PHOSPHATE 10 MG/ML INJECTION SOLUTION,STR,,
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJECTION SOLUTION,STR,,
DEXMEDETOMIDINE 100 MCG/ML INTRAVENOUS SOLUTION,STR,,
DEXMEDETOMIDINE 200 MCG/50 ML (4 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV,STR,,
DEXMEDETOMIDINE 400 MCG/100 ML (4 MCG/ML) IV SOLUTION,STR,,
"DEXMETHYLPHENIDATE ER 10 MG CAPSULE,EXTENDED RELEASE BIPHASIC50-50",STR,,
DEXTRAN 70-HYPROMELLOSE (PF) 0.1 %-0.3 % EYE DROPS IN A DROPPERETTE,STR,,
DEXTROAMPHETAMINE-AMPHETAMINE 10 MG TABLET,VAULT,,
DEXTROAMPHETAMINE-AMPHETAMINE 5 MG TABLET,VAULT,,
"DEXTROAMPHETAMINE-AMPHETAMINE ER 10 MG 24HR CAPSULE,EXTEND RELEASE",VAULT,,
"DEXTROAMPHETAMINE-AMPHETAMINE ER 5 MG 24HR CAPSULE,EXTEND RELEASE",VAULT,,
DEXTROMETHORPHAN IR 45 MG-BUPROPION ER 105 MG BIPHASIC TABLET,STR,,
DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML ORAL SYRUP,PHRM,,
DEXTROSE 10 % IN WATER (D10W) BOLUS,STR,,
DEXTROSE 10 % IN WATER (D10W) INTRAVENOUS SOLUTION,STR,,
DEXTROSE 20 % IN WATER (D20W) INTRAVENOUS SOLUTION,STR,,
DEXTROSE 40 % ORAL GEL,STR,,
DEXTROSE 5 % AND 0.45 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,STR,,
DEXTROSE 5 % AND 0.9 % NACL IV BOLUS,STR,,
DEXTROSE 5 % AND 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,STR,,
DEXTROSE 5 % AND LACTATED RINGERS INTRAVENOUS SOLUTION,STR,,
DEXTROSE 5 % IN WATER (D5W) INTRAVENOUS SOLUTION,STR,,
DEXTROSE 5 % IV BOLUS,STR,,
DEXTROSE 50 % IN WATER (D50W)INTRAVENOUS SOLUTION,STR,,
DEXTROSE 50 % IN WATER (D50W) INTRAVENOUS 25GM (50ml) SYRINGE,STR,,
DIATRIZOATE MEGLUMINE-DIATRIZOATE SODIUM 66 %-10 % ORAL SOLUTION,STR,,
DIAZEPAM 2 MG TABLET,VAULT,,
DIAZEPAM 5 MG TABLET,VAULT,,
DIAZEPAM 5 MG/ML INJECTION SYRINGE,VAULT,,
DICLOFENAC 0.1 % EYE DROPS,STR,,
DICLOFENAC 1 % TOPICAL GEL,STR,,
DICLOFENAC POTASSIUM 50 MG TABLET,STR,,
"DICLOFENAC SODIUM 50 MG TABLET,DELAYED RELEASE",STR,,
DICLOXACILLIN 250 MG CAPSULE,STR,,
DICLOXACILLIN 500 MG CAPSULE,STR,,
DICYCLOMINE 10 MG CAPSULE,PHRM,,
DICYCLOMINE 20 MG TABLET,STR,,
DIGOXIN 125 MCG (0.125 MG) TABLET,STR,,
DIGOXIN 250 MCG (0.25 MG) TABLET,STR,,
DIGOXIN 250 MCG/ML (0.25 MG/ML) INJECTION SOLUTION,STR,,
DIGOXIN 500 MCG/2 ML (250 MCG/ML) (0.5 MG/2 ML) INJECTION SOLUTION,STR,,
DILTIAZEM 125 MG IN D5W 100 ML IVPB PYXIS MINIBAG,STR,,
DILTIAZEM 30 MG TABLET,PHRM,,
DILTIAZEM 5 MG/ML INTRAVENOUS SOLUTION,STR,,
DILTIAZEM 60 MG TABLET,PHRM,,
DILTIAZEM 90 MG TABLET,STR,,
"DILTIAZEM CD 120 MG CAPSULE,EXTENDED RELEASE 24 HR",STR,,
"DILTIAZEM CD 180 MG CAPSULE,EXTENDED RELEASE 24 HR",STR,,
"DILTIAZEM CD 240 MG CAPSULE,EXTENDED RELEASE 24 HR",STR,,
"DILTIAZEM ER 300 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"DIMETHYL FUMARATE 240 MG CAPSULE,DELAYED RELEASE",STR,,
DIPHENHYDRAMINE 12.5 MG/5 ML ORAL ELIXIR,PHRM,,
DIPHENHYDRAMINE 12.5 MG/5 ML ORAL LIQUID,PHRM,,
DIPHENHYDRAMINE 25 MG CAPSULE,PHRM,,
DIPHENHYDRAMINE 50 MG CAPSULE,PHRM,,
DIPHENHYDRAMINE 50 MG/ML INJECTION SOLUTION,STR,,
DIPHENHYDRAMINE IVPB,STR,,
DIPHENHYDRAMINE-ZINC ACETATE 1 %-0.1 % TOPICAL CREAM,STR,,
DIPHENHYDRAMINE-ZINC ACETATE 2 %-0.1 % TOPICAL CREAM,STR,,
DIPHENOXYLATE-ATROPINE 2.5 MG-0.025 MG TABLET,STR,,
"DIPHTH,PERTUSSIS(ACEL),TETANUS 2.5 LF UNIT-8 MCG-5 LF/0.5ML IM SYRINGE",PHRM,FRIIG,
DISOPYRAMIDE PHOSPHATE 100 MG CAPSULE,STR,,
DISOPYRAMIDE PHOSPHATE 150 MG CAPSULE,STR,,
"DIVALPROEX 125 MG CAPSULE,DELAYED RELEASE SPRINKLE",PHRM,,
"DIVALPROEX 125 MG TABLET,DELAYED RELEASE",PHRM,,
"DIVALPROEX 250 MG TABLET,DELAYED RELEASE",PHRM,,
"DIVALPROEX 500 MG TABLET,DELAYED RELEASE",PHRM,,
"DIVALPROEX ER 250 MG TABLET,EXTENDED RELEASE 24 HR",IV,,
"DIVALPROEX ER 500 MG TABLET,EXTENDED RELEASE 24 HR",IV,,
"DOBUTAMINE 500 MG/250 ML (2,000 MCG/ML) IN 5 % DEXTROSE IV",STR,,
DOCETAXEL INFUSION,STR,,
DOCUSATE SODIUM 100 MG CAPSULE,STR,,
DOCUSATE SODIUM 50 MG/5 ML ORAL LIQUID,STR,,
DOCUSATE SOD X283 MG/5 ML ENEMA,STR,ZONE-8 (LAXATIVES SUPPOSITORIES ORAL CUPS & ENEMAS(A-E),
DOFETILIDE 125 MCG CAPSULE,STR,,
DOFETILIDE 250 MCG CAPSULE,STR,,
DOFETILIDE 500 MCG CAPSULE,STR,,
DOLUTEGRAVIR 50 MG TABLET,VIT,,
DOLUTEGRAVIR 50 MG-RILPIVIRINE 25 MG TABLET,VIT,,
DONEPEZIL 10 MG TABLET,STR,,
DONEPEZIL 5 MG TABLET,STR,,
"DOPAMINE 400 MG/250 ML (1,600 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS SOLN",STR,,
DORAVIRINE 100 MG TABLET,STR,,
DORNASE ALPHA INTRAPLEURAL,STR,,
DORZOLAMIDE 2 % EYE DROPS,STR,,
DORZOLAMIDE 22.3 MG-TIMOLOL 6.8 MG/ML EYE DROPS,STR,,
DOXAZOSIN 1 MG TABLET,STR,,
DOXAZOSIN 2 MG TABLET,STR,,
DOXAZOSIN 4 MG TABLET,STR,,
DOXEPIN 10 MG CAPSULE,STR,,
DOXEPIN 25 MG CAPSULE,STR,,
DOXEPIN 50 MG CAPSULE,STR,,
DOXORUBICIN 50 MG/25 ML INTRAVENOUS SOLUTION,STR,,
DOXORUBICIN LIPOSOMAL INFUSION,STR,,
DOXYCYCLINE 100 MG/100 ML D5W IVPB,STR,,
DOXYCYCLINE 100 MG/100 ML D5W IVPB PYXIS MINIBAG,STR,,
DOXYCYCLINE 200 MG/250 ML D5W IVPB,STR,,
DOXYCYCLINE 500 MG IN 50 ML NS INTRAPLEURAL,STR,,
DOXYCYCLINE HYCLATE 100 MG INTRAVENOUS POWDER FOR SOLUTION,STR,,
DOXYCYCLINE HYCLATE 100 MG TABLET,PHRM,,
DOXYCYCLINE TABLET 7-DAY KIT,VIT,,
DOXYLAMINE SUCCINATE 25 MG TABLET,STR,,
DRONABINOL 2.5 MG CAPSULE,STR,,
DRONEDARONE 400 MG TABLET,STR,,
DROPERIDOL 2.5 MG/ML INJECTION SOLUTION,STR,,
DROPERIDOL 2.5 MG/ML INJECTION SOLUTION (IM),STR,,
DROPERIDOL 2.5 MG/ML INJECTION SOLUTION (NAUSEA/VOMITING),STR,,
DROXIDOPA 100 MG CAPSULE,STR,,
DULAGLUTIDE 0.75 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,STR,,
"DULOXETINE 20 MG CAPSULE,DELAYED RELEASE",STR,,
"DULOXETINE 30 MG CAPSULE,DELAYED RELEASE",STR,,
"DULOXETINE 60 MG CAPSULE,DELAYED RELEASE",STR,,
DUPILUMAB 300 MG/2 ML SUBCUTANEOUS PEN INJECTOR,STR,,
DUPILUMAB 300 MG/2 ML SUBCUTANEOUS SYRINGE,STR,,
DURVALUMAB CHEMO INFUSION,STR,,
DUTASTERIDE 0.5 MG CAPSULE,STR,,
EDOXABAN 60 MG TABLET,VIT,,
EFAVIRENZ 600 MG TABLET,VIT,,
EFAVIRENZ 600 MG-EMTRICITABINE 200 MG-TENOFOVIR DISOPROX 300 MG TABLET,VIT,,
ELECTROLYTE-S (PH 7.4) INTRAVENOUS SOLUTION,STR,,
ELECTROLYTE-S INTRAVENOUS SOLUTION FOR IRRIGATION,STR,,
ELECTROLYTE-S IV BOLUS,STR,,
ELTROMBOPAG OLAMINE 75 MG TABLET,STR,,
ELUXADOLINE 75 MG TABLET,STR,,
ELVITEG 150 MG-COB 150 MG-EMTRICIT 200 MG-TENOFO ALAFENAM 10 MG TABLET,STR,,
EMPAGLIFLOZIN 10 MG TABLET,STR,PHRM,
EMPAGLIFLOZIN 25 MG TABLET,PHRM,,
EMTRICITABINE 200 MG CAPSULE,PHRM,,
EMTRICITABINE 200 MG-RILPIVIRINE 25 MG-TENOFOVIR ALAFENAM 25 MG TABLET,STR,,
EMTRICITABINE 200 MG-TENOFOVIR ALAFENAMIDE FUMARATE 25 MG TABLET,STR,,
EMTRICITABINE 200 MG-TENOFOVIR DISOPROXIL FUMARATE 300 MG TABLET,VIT,,
EMTRICITABINE-TENOFOVIR DISOPROXIL FUMARATE  200 MG - 300 MG TABLET,VIT,,
EMTRICITABINE-TENOFOVIR DISOPROXIL FUMARATE  200 MG /300 MG TABLET,VIT,,
ENALAPRIL MALEATE 10 MG TABLET,STR,,
ENALAPRIL MALEATE 2.5 MG TABLET,STR,,
ENALAPRIL MALEATE 20 MG TABLET,STR,,
ENALAPRIL MALEATE 5 MG TABLET,STR,,
ENALAPRILAT 1.25 MG/ML INTRAVENOUS SOLUTION,STR,,
ENALAPRILAT IVPB PYXIS MINIBAG,STR,,
ENOXAPARIN 100 MG/ML SUBCUTANEOUS SYRINGE,IV,,
ENOXAPARIN 120 MG/0.8 ML SUBCUTANEOUS SYRINGE,IV,,
ENOXAPARIN 150 MG/ML SUBCUTANEOUS SYRINGE,IV,,
ENOXAPARIN 30 MG/0.3 ML SUBCUTANEOUS SYRINGE,IV,,
ENOXAPARIN 300 MG/3 ML SUBCUTANEOUS SOLUTION,IV,,
ENOXAPARIN 40 MG/0.4 ML SUBCUTANEOUS SYRINGE,IV,IV,IV-Section -P
ENOXAPARIN 60 MG/0.6 ML SUBCUTANEOUS SYRINGE,IV,,
ENOXAPARIN 80 MG/0.8 ML SUBCUTANEOUS SYRINGE,IV,,
ENTACAPONE 200 MG TABLET,STR,,
ENTECAVIR 0.5 MG TABLET,VIT,,
ENTECAVIR 1 MG TABLET,VIT,,
ENZALUTAMIDE 40 MG TABLET,STR,,
ENZALUTAMIDE 80 MG TABLET,STR,,
EPHEDRINE (PF) 25 MG/5 ML (5 MG/ML) IN 0.9% SODIUM CHLORIDE IV SYRINGE,STR,,
EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN 0.9 % SOD.CHLORIDE IV SYRINGE,STR,,
EPHEDRINE SULFATE 50 MG/ML INTRAVENOUS SOLUTION,STR,,
EPINEPHRINE 0.1 MG/ML INJECTION SYRINGE,STR,,
EPINEPHRINE 1 MG/ML (1 ML) INJECTION SOLUTION,STR,,
EPINEPHRINE 16 MG/250 ML (NON-STANDARD CONCENTRATION) INFUSION,STR,,
EPINEPHRINE 4 MG/250 ML (16 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV SOLN,STR,,
EPINEPHRINE 8 MG/250 ML (32 MCG/ML) INFUSION,STR,,
EPINEPHRINE HCL (PF) 1 MG/ML (1 ML) INJECTION SOLUTION,STR,,
EPINEPHRINE HCL 4 MG/250 ML (16 MCG/ML) IN 0.9 % SODIUM CHLOR IV SOLN (ANESTHESIA),STR,,
EPINEPHRINE HCL 4 MG/250 ML (16 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS,STR,,
EPINEPHRINE HCL IN D5W 4 MG/250 ML (16 MCG/ML) IV,STR,,
EPINEPHRINE INFUSION ADULT,STR,,
EPLERENONE 25 MG TABLET,STR,,
"EPOETIN ALFA 10,000 UNIT/ML INJECTION SOLUTION",IV,,
"EPOETIN ALFA 2,000 UNIT/ML INJECTION SOLUTION",IV,,
"EPOETIN ALFA 3,000 UNIT/ML INJECTION SOLUTION",IV,,
"EPOETIN ALFA 4,000 UNIT/ML INJECTION SOLUTION",IV,,
"EPOETIN ALFA 40,000 UNIT/ML INJECTION SOLUTION",STR,,
"EPOETIN ALFA-EPBX 10,000 UNIT/ML INJECTION SOLUTION",STR,,
"EPOETIN ALFA-EPBX 2,000 UNIT/ML INJECTION SOLUTION",STR,,
"EPOETIN ALFA-EPBX 3,000 UNIT/ML INJECTION SOLUTION",STR,,
"EPOETIN ALFA-EPBX 4,000 UNIT/ML INJECTION SOLUTION",STR,,
"EPOETIN ALFA-EPBX 40,000 UNIT/ML INJECTION SOLUTION",STR,,
EPOPROSTENOL CONTINUOUS INHALATION SLW,STR,,
EPOPROSTENOL CONTINUOUS INHALATION SYRINGE (SLW),STR,,
EPTIFIBATIDE 2 MG/ML INTRAVENOUS SOLUTION,STR,,
"ERGOCALCIFEROL (VITAMIN D2) 1,250 MCG (50,000 UNIT) CAPSULE",VIT,,
"ERGOCALCIFEROL (VITAMIN D2) 200 MCG/ML (8,000 UNIT/ML) ORAL DROPS",VIT,,
ERTAPENEM 1 G IN NS 50 ML IVPB PYXIS MINIBAG,STR,,
ERTAPENEM 1 GRAM SOLUTION FOR INJECTION,STR,,
ERTAPENEM IVPB,STR,,
ERYTHROMYCIN 1 G IVPB,STR,,
ERYTHROMYCIN 250 MG TABLET,STR,,
"ERYTHROMYCIN 250 MG TABLET,DELAYED RELEASE",STR,,
ERYTHROMYCIN 5 MG/GRAM (0.5 %) EYE OINTMENT,STR,,
ERYTHROMYCIN 500 MG IVPB,STR,,
ERYTHROMYCIN 500 MG IVPB (MSQ),IV,,
ESCITALOPRAM 10 MG TABLET,PHRM,,
ESCITALOPRAM 20 MG TABLET,PHRM,,
ESCITALOPRAM 5 MG TABLET,PHRM,,
ESLICARBAZEPINE 400 MG TABLET,STR,,
ESMOLOL 100 MG/10 ML (10 MG/ML) INTRAVENOUS SOLUTION,STR,,
"ESMOLOL 2,000 MG/100 ML (20 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV",STR,,
"ESOMEPRAZOLE MAGNESIUM 20 MG CAPSULE,DELAYED RELEASE",PHRM,,
"ESOMEPRAZOLE MAGNESIUM 40 MG CAPSULE,DELAYED RELEASE",PHRM,,
ESTRADIOL 0.5 MG TABLET,STR,,
ESTRADIOL 1 MG TABLET,STR,,
ESTRADIOL 2 MG TABLET,STR,,
ESTRADIOL VALERATE 20 MG/ML INTRAMUSCULAR OIL,STR,,
ESTRADIOL VALERATE 40 MG/ML INTRAMUSCULAR OIL,STR,,
ETANERCEPT 50 MG/ML (1 ML) SUBCUTANEOUS SYRINGE,STR,,
ETHAMBUTOL 400 MG TABLET,STR,,
ETOMIDATE 2 MG/ML INTRAVENOUS SOLUTION,STR,,
ETONOGESTREL 68 MG SUBDERMAL IMPLANT,STR,,
ETOPOSIDE INFUSION,STR,,
ETRAVIRINE 200 MG TABLET,STR,,
EVOLOCUMAB 140 MG/ML SUBCUTANEOUS PEN INJECTOR,STR,,
EXEMESTANE 25 MG TABLET,STR,,
EZETIMIBE 10 MG TABLET,PHRM,,
FAMOTIDINE (PF) 20 MG/2 ML INTRAVENOUS SOLUTION,STR,,
FAMOTIDINE (PF) 20 MG/50 ML IN 0.9 % NACL (ISO) INTRAVENOUS PIGGYBACK,STR,,
FAMOTIDINE 20 MG TABLET,PHRM,PHRM,
FAMOTIDINE 40 MG TABLET,STR,,
FAMOTIDINE 40 MG/5 ML (8 MG/ML) ORAL SUSPENSION,STR,,
FAM-TRASTUZUMAB DERUXTECAN-NXKI CHEMO INFUSION,STR,,
FAT EMULSION 20 % INTRAVENOUS,STR,,
FAT EMULSION-SOYBEAN OIL-MCT-OLIVE OIL-FISH OIL 20 % INTRAVENOUS,STR,,
FELBAMATE 600 MG TABLET,STR,,
FENOFIBRATE 160 MG TABLET,STR,,
FENOFIBRATE NANOCRYSTALLIZED 145 MG TABLET,STR,,
FENOFIBRATE NANOCRYSTALLIZED 48 MG TABLET,STR,,
FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,VAULT,,
FENTANYL (PF) 10 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS (250 ML),VAULT,,
